Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~12_fit_switch.PrjPCB|ReportField=ProjectFullPath~F:\xr_company\PCB工程\一二次配合PCB\一二次配合底板\12_fit_switch.PrjPCB|ReportField=Title~Bill of Materials For PCB Document [12_fit_switch.PcbDoc]|ReportField=TotalQuantity~458|ReportField=ReportTime~上午 10:58:24|ReportField=ReportDate~2018/12/8 星期六|ReportField=ReportDateTime~2018/12/8 星期六 上午 10:58:24|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~12_fit_switch.PcbDoc|ReportField=DataSourceFullPath~F:\xr_company\PCB工程\一二次配合PCB\一二次配合底板\12_fit_switch.PcbDoc
Battery|Multicell Batt|BT1|3.3VBAT|Battery|1
104|Capacitor|C1, C11, C13, C15, C16, C22, C24, C25, C26, C28, C29, C32, C35, C36, C37, C38, C39, C42, C43, C45, C57, C58, C64, C66, C67, C68, C69, C70, C71, C72, C73, C80, C84, C86, C88, C91|C1206|CAP|36
10u/10V|Polarized Capacitor (Axi|C2, C4, C97|钽电容B型3528|Cap Pol2|3
100u/10V|Polarized Capacitor (Axi|C3, C6, C93|钽电容B型3528|Cap Pol2|3
104|Capacitor|C5, C7, C94|R1206|Cap|3
104|Capacitor|C8, C9, C30, C82, C85|CBB104|CAP|5
47uF/35V|Electrolytic Capacitor|C10|47U/50V|ELECTRO1|1
16V/220uF|Electrolytic Capacitor|C12|钽电解C型EC6032|ELECTRO|1
47uF/50V|Electrolytic Capacitor|C14, C19, C34, C53, C55, C63, C79, C81|47U/50V|ELECTRO1|8
100uF/10V||C17, C18, C33, C96|钽电容B型3528|ELECT|4
103|Capacitor|C20, C23, C40|C1206|CAP|3
2200uF/16V|Electrolytic Capacitor|C21, C51|470U/63V|ELECTRO1|2
100uF/50V||C27|SL-H贴片铝电解8MM|ELEC|1
201|Capacitor|C31, C41, C44, C47, C65, C74, C75, C76, C77, C98, C99, C100, C101, C102, C103, C104|C1206|CAP|16
